outcome,learner,group,n,predicted_cate,realized_ate,se,ci_lo,ci_hi
visit,t_learner,1,100000,-0.035999062592008746,0.017525513873640958,0.00305589263464811,0.011536074369109445,0.02351495337817247
visit,t_learner,2,100000,-0.0006139760889866627,0.0007311852360842464,0.0007562697971265569,-0.0007510763288792184,0.0022134468010477112
visit,t_learner,3,100000,1.862580126832659e-05,0.00031516253009838827,0.00029713242592718054,-0.000267206323357901,0.0008975313835546775
visit,t_learner,4,100000,9.904428322492094e-05,-3.40802230878825e-05,0.00028151506246341164,-0.000585839606621713,0.000517679160445948
visit,t_learner,5,100000,0.00014908132429242128,-0.0001593185298418068,0.0003093925612940986,-0.0007657168070628412,0.0004470797473792276
visit,t_learner,6,100000,0.00032085965235167805,0.0009692233059308253,0.0003559514403750648,0.0002715713025505419,0.0016668753093111088
visit,t_learner,7,100000,0.000955284489218406,0.001558333618616999,0.0006088082976950697,0.00036509128164552277,0.0027515759555884756
visit,t_learner,8,100000,0.0024311288346132807,0.002191001362887062,0.0009125590329971754,0.00040241852444589956,0.0039795842013282245
visit,t_learner,9,100000,0.011231784424343857,0.008076983289079624,0.0018763268137613287,0.004399450310880626,0.011754516267278622
visit,t_learner,10,100000,0.09269277985430115,0.051991413784037266,0.003651599314867481,0.044834410640925866,0.059148416927148666
visit,x_learner,1,100000,-0.02597783122703265,0.016338684277694165,0.0029968899549006668,0.010464887900458991,0.02221248065492934
visit,x_learner,2,100000,0.0002108924658452178,-4.5439710351480745e-05,0.0005051091323508719,-0.0010354354180214652,0.0009445559973185037
visit,x_learner,3,100000,0.0002848043979835787,0.0002421356646357878,0.00025446747475785816,-0.00025661142112646954,0.0007408827503980451
visit,x_learner,4,100000,0.00033036928195448424,0.0004890374513413836,0.0003011887561744525,-0.00010128166330895913,0.0010793565659917264
visit,x_learner,5,100000,0.00043653401833645625,0.0005286970424439549,0.00032139833584910604,-0.00010123212051140146,0.0011586262053993111
visit,x_learner,6,100000,0.0005749648595041965,0.0009538211906113983,0.00044629796359946185,7.909325558288507e-05,0.0018285491256399115
visit,x_learner,7,100000,0.001090398939138083,0.001433681505879126,0.0007437133449734787,-2.396986509070522e-05,0.002891332876848957
