arm,mechanism,severity,outcome,replicate,n_kept,treated_share_kept,naive,outcome_regression,ipw,aipw
primary,confounded_assignment,0.0,visit,0,500520,0.8502237672820266,0.010528346733034474,0.007439362817617605,0.006394190157646397,0.007433428129492506
primary,confounded_assignment,0.0,visit,1,499738,0.8503936062496749,0.01066854485487749,0.006695843598010588,0.005754021038289613,0.007251541679555678
primary,confounded_assignment,0.0,visit,2,499084,0.8499671398001138,0.008765392805776324,0.005950309827037657,0.0052171734986294,0.006406789741566774
primary,confounded_assignment,0.0,visit,3,499256,0.849538112711715,0.010512392217757648,0.006778962709950066,0.00569283270158133,0.007290289799508596
primary,confounded_assignment,0.0,visit,4,500214,0.8501281451538741,0.009866209899569926,0.0066826956926451485,0.005627414997749887,0.007385935824110242
primary,confounded_assignment,0.0,visit,5,500312,0.8500355777994532,0.010162130764305895,0.006852645729569617,0.006351277853152516,0.006963137630254159
primary,confounded_assignment,0.0,visit,6,500126,0.8501177703218789,0.010136791896829138,0.0070945774068505085,0.006041634644675754,0.007210329172158986
primary,confounded_assignment,0.0,visit,7,500367,0.8504777493319903,0.010345919990915053,0.006959311800272664,0.006106632611380031,0.007443097919143721
primary,confounded_assignment,0.0,visit,8,499753,0.8498438228484871,0.010598909383485428,0.007471914531614364,0.006396513899613321,0.007735241259125112
primary,confounded_assignment,0.0,visit,9,499359,0.8498154634241097,0.009789384685928916,0.006542854657336269,0.005901543671526392,0.0069873963721133765
primary,confounded_assignment,0.0,visit,10,500457,0.8497613181552062,0.00950629070448987,0.006101255242401762,0.005739818590372439,0.006811677437204243
primary,confounded_assignment,0.0,visit,11,500307,0.8502859244423924,0.010190644176897148,0.007118087950240804,0.005976123850222836,0.00719648733047802
primary,confounded_assignment,0.0,visit,12,500249,0.8503185413663995,0.010646955388414168,0.007089021913353839,0.0059425748932689995,0.007701221512460268
primary,confounded_assignment,0.0,visit,13,498863,0.8502013578878369,0.00956009516931381,0.006972813275688781,0.00610116646149781,0.007483164538680422
primary,confounded_assignment,0.0,visit,14,499225,0.8501757724472933,0.01114962123727932,0.007832055980980643,0.00668209139189526,0.007955947175347939
primary,confounded_assignment,0.0,visit,15,499864,0.8500112030472289,0.010612692913597822,0.007870720098010021,0.006992477874631198,0.008165929520831334
primary,confounded_assignment,0.0,visit,16,499780,0.8499679859138021,0.010548008043275159,0.007263325092049323,0.005975734016489639,0.00752119408135896
primary,confounded_assignment,0.0,visit,17,499791,0.8501973825058875,0.010949611294696314,0.008127733211180625,0.0068710365081035354,0.00826114975565346
primary,confounded_assignment,0.0,visit,18,500386,0.8506313126266523,0.010104613111091551,0.007015582222923605,0.00633402828700784,0.007351001133179838
primary,confounded_assignment,0.0,visit,19,499859,0.8495355690304666,0.010357937938250156,0.007092080842596219,0.006023121610702217,0.007119547094798374
primary,confounded_assignment,0.25,visit,0,500065,0.8496055512783338,0.03271561113761436,0.008490160075604825,0.005592613748128812,0.007948609322652078
primary,confounded_assignment,0.25,visit,1,499446,0.8494451852652739,0.03352159210770936,0.008482270907687594,0.005444626558819152,0.008651798597562125
primary,confounded_assignment,0.25,visit,2,498861,0.8493448074714199,0.032416631041871966,0.00746547279177881,0.0043742644117150745,0.007675407012758768
primary,confounded_assignment,0.25,visit,3,499061,0.848741937358359,0.03349683502292942,0.008398158630146563,0.004132375292326261,0.008174311897686507
primary,confounded_assignment,0.25,visit,4,499723,0.8495226355400892,0.03288166482262801,0.008351707302506981,0.004651116477303235,0.008290125146695757
primary,confounded_assignment,0.25,visit,5,499828,0.8493961922901478,0.032983874763058155,0.007627336750933514,0.004976821035731431,0.0076638853822900525
primary,confounded_assignment,0.25,visit,6,499882,0.8495064835301132,0.03248239599417249,0.007059570607787396,0.003792783276387629,0.007674952552557918
primary,confounded_assignment,0.25,visit,7,500099,0.8498137368800978,0.033103023402126355,0.00845383572082504,0.004873365059339559,0.008241808860326863
primary,confounded_assignment,0.25,visit,8,499221,0.8491870333980341,0.03348433818537974,0.008526054925536283,0.005633987223144191,0.008794038643110685
primary,confounded_assignment,0.25,visit,9,499297,0.8491799470054897,0.03276313613744822,0.00768886150829565,0.004020303434502652,0.00742137546942621
primary,confounded_assignment,0.25,visit,10,500030,0.849013059216447,0.032232660769068874,0.0063392398011518965,0.0032445463607997244,0.0071578672904639195
primary,confounded_assignment,0.25,visit,11,500040,0.8495540356771458,0.03370847708445566,0.009169234424960631,0.004220038125314428,0.008359059493934456
primary,confounded_assignment,0.25,visit,12,500131,0.8492275023943727,0.03291727692290061,0.008843128810923025,0.006090484415458806,0.009333367353716758
primary,confounded_assignment,0.25,visit,13,498384,0.8496861857523516,0.032429640266045064,0.007411289790200707,0.0024252864628346374,0.007020096522903856
primary,confounded_assignment,0.25,visit,14,498995,0.8492449824146534,0.033852596080782574,0.008924461785094678,0.005057268856667851,0.009102258685359466
