k,random,cate,propensity
0.02,22.98823529411764,269.7021972241037,405.5053305174039
0.04,45.97647058823528,326.81505403214044,483.8202642574599
0.06,68.96470588235292,413.39638149358467,555.9676640104061
0.08,91.95294117647056,450.27953934794004,648.4141953862485
0.1,114.9411764705882,489.38743580758916,742.7094350242185
0.12,137.92941176470583,500.2445615398674,790.1207114994843
0.14,160.9176470588235,550.8215508273428,843.771566059264
0.16,183.90588235294112,579.7774111352109,891.6749888700438
0.18,206.89411764705875,608.9532783358812,923.2586028546772
0.2,229.8823529411764,633.1980650478271,927.5306892706757
0.22,252.87058823529404,639.8639224837708,922.1745474116728
0.24,275.85882352941167,656.0987282289911,945.2902957679152
0.26,298.8470588235293,666.0706972846542,969.2981622410966
0.28,321.835294117647,674.6145246651688,995.9112968145572
0.3,344.8235294117646,684.5493528926993,1013.7260690938638
0.32,367.81176470588224,695.5009261366554,1012.6396186188977
0.34,390.7999999999999,686.3843536877067,1025.5576285539228
0.36,413.7882352941175,686.8773495600584,1029.746615208706
0.38,436.77647058823516,695.3264108051777,1030.7202070124636
0.4,459.7647058823528,700.3166029568226,1042.3720980951616
0.42,482.7529411764704,703.8499217608485,1050.616967953273
0.44,505.7411764705881,698.1329667171894,1054.4437543951797
0.46,528.7294117647058,701.4467310519656,1054.489510062367
0.48,551.7176470588233,706.0319398497555,1059.0893263956768
0.5,574.705882352941,709.3399313980243,1059.694788932082
0.52,597.6941176470586,717.3687621583211,1064.6216338353474
0.54,620.6823529411763,719.7530639136679,1060.4411903852588
0.56,643.670588235294,712.9544609035747,1064.599005334924
0.58,666.6588235294115,715.6745760241035,1068.1543782708366
0.6,689.6470588235292,718.8265099011388,1063.872380152426
0.62,712.6352941176468,719.6348676146073,1065.0426580152377
0.64,735.6235294117645,725.8496733978603,1070.0912201729207
0.66,758.6117647058821,721.8868045572101,1067.4135826346537
0.68,781.5999999999998,723.7069490375513,1070.2005011732638
0.7,804.5882352941173,724.467366039116,1071.4894387205188
0.72,827.576470588235,724.0673290057595,1074.9248797574671
0.74,850.5647058823527,729.6230946064464,1075.6680834780334
0.76,873.5529411764703,728.4590979536765,1070.9009930563943
0.78,896.541176470588,733.7733384898477,1072.2981508595217
0.8,919.5294117647056,737.4896933261164,1077.6710065416153
0.82,942.5176470588232,738.3586325058658,1072.0150005434941
0.84,965.5058823529408,743.175101140537,1072.4134498153576
0.86,988.4941176470585,746.6940782022589,1074.4160958433627
0.88,1011.4823529411761,746.9445757719137,1078.504849568842
0.9,1034.470588235294,745.2607465336109,1079.5022730910173
0.92,1057.4588235294116,748.7501867956342,1080.8134029692833
0.94,1080.447058823529,774.851007190047,1085.41056564204
0.96,1103.4352941176467,814.9860413342977,1085.688808581223
0.98,1126.4235294117643,878.7699263186386,1087.4418308415293
1.0,1149.411764705882,1149.411764705882,1149.411764705882
