k,random,cate,propensity
0.02,206.8705882352942,1844.4809522042094,1417.0694869996926
0.04,413.7411764705884,3036.1084524448943,3051.2456618656115
0.06,620.6117647058826,3980.2673542284037,3867.259634767786
0.08,827.4823529411768,4465.326342532608,4462.670976633926
0.1,1034.352941176471,4990.095831313449,5050.163759218928
0.12,1241.2235294117652,5538.078737125666,5433.998539499847
0.14,1448.0941176470594,5877.093658127866,5984.793813794414
0.16,1654.9647058823537,6154.605044727131,6400.618598092023
0.18,1861.8352941176477,6465.132570695823,6758.882157676211
0.2,2068.705882352942,6739.2296623266375,7053.720572139216
0.22,2275.576470588236,6957.167717411237,7208.9963364326095
0.24,2482.4470588235304,7251.975466714777,7514.996340852187
0.26,2689.3176470588246,7458.817789039393,7756.40500736844
0.28,2896.188235294119,7564.4939122138285,7955.712879841847
0.3,3103.058823529413,7653.05482982631,8152.466697403125
0.32,3309.9294117647073,7679.434808389058,8248.87313668787
0.34,3516.8000000000015,7696.472260739576,8419.945890883228
0.36,3723.6705882352953,7801.458950692372,8472.38378181426
0.38,3930.54117647059,7920.162105405555,8571.447460843789
0.4,4137.411764705884,8004.8247360317455,8727.610278269238
0.42,4344.282352941178,8076.396790568798,8848.5929348528
0.44,4551.152941176472,8137.888882141574,8931.761881018898
0.46,4758.0235294117665,8218.442326645129,9003.866543572674
0.48,4964.894117647061,8262.924619409572,9022.598178143377
0.5,5171.764705882355,8261.84895298572,9086.489967978881
0.52,5378.635294117649,8330.440539717949,9147.63171758378
0.54,5585.505882352943,8351.442067183669,9242.241242847915
0.56,5792.376470588238,8362.475796698598,9276.631504954064
0.58,5999.247058823531,8375.996052350982,9329.26730306905
0.6,6206.117647058826,8439.846534383863,9265.689262190232
0.62,6412.98823529412,8481.942251491613,9278.878338365666
0.64,6619.858823529415,8491.643102777578,9315.439156318938
0.66,6826.729411764709,8503.609921567775,9367.60581500043
0.68,7033.600000000003,8540.623164529125,9407.721637449267
0.7,7240.470588235296,8601.369560790337,9427.104096789519
0.72,7447.341176470591,8601.429423347563,9440.386536711767
0.74,7654.211764705885,8617.401931561853,9455.79574621399
0.76,7861.08235294118,8615.422824461504,9511.048267515114
0.78,8067.952941176474,8626.372585618707,9535.141364413843
0.8,8274.823529411768,8668.114546419203,9578.583750844033
0.82,8481.694117647061,8701.163348807828,9574.090201361432
0.84,8688.564705882356,8696.442344284736,9563.56677671302
0.86,8895.435294117651,8680.631740130799,9583.507843763427
0.88,9102.305882352945,8679.853085105091,9607.355748833925
0.9,9309.17647058824,8676.219789331053,9642.675603388107
0.92,9516.047058823533,8660.079681862353,9659.630184150397
0.94,9722.917647058826,8837.296465662605,9677.800105920958
0.96,9929.788235294121,9121.767488900983,9658.030933182157
0.98,10136.658823529415,9682.157667717729,9653.439776792073
1.0,10343.52941176471,10343.52941176471,10343.52941176471
